Type,Card,Pair #1,Pair #2,Pair #3,Pair #4,Pair #5,Pair #6
Unit,GD03-001 Gundam NT-1,GD03-071 Z Gundam (Biosensor),GD03-105 Bridge Crew,GD03-118 Awakened Potential,,,
Unit,GD03-002 The-O,GD03-010 Full Armor Unicorn Gundam (Destroy Mode),GD03-020 Zaku II FZ,GD03-033 Providence Gundam,GD03-053 Gundam Gusion Rebake Full City,GD03-071 Z Gundam (Biosensor),
Unit,GD03-003 Messala,GD03-035 GFreD,GD03-073 Graze Ein,GD03-070 Freedom Gundam,,,
Unit,GD03-010 Full Armor Unicorn Gundam (Destroy Mode),GD03-002 The-O,GD03-070 Freedom Gundam,GD03-084 Paptimus Scirocco,,,
Unit,GD03-017 Kampfer,GD03-019 Gundam AGE-2 Normal,GD03-052 Gundam Virtue,GD03-091 Rau Le Creuset,,,
Unit,GD03-018 Altron Gundam,GD03-071 Z Gundam (Biosensor),GD03-094 Zeheart Galette,GD03-101 A Healthy Curiosity,GD03-118 Awakened Potential,,
Unit,GD03-019 Gundam AGE-2 Normal,GD03-017 Kampfer,GD03-020 Zaku II FZ,GD03-052 Gundam Virtue,GD03-035 GFreD,GD03-088 Asemu Asuno,GD03-101 A Healthy Curiosity
Unit,GD03-020 Zaku II FZ,GD03-002 The-O,GD03-019 Gundam AGE-2 Normal,GD03-052 Gundam Virtue,GD03-109 Improved Technique,,
Unit,GD03-022 Gundam Kyrios,GD03-035 GFreD,GD03-069 Graham's Union Flag Custom,GD03-094 Zeheart Galette,,,
Unit,GD03-033 Providence Gundam,GD03-002 The-O,GD03-050 Gundam Barbatos Lupus,GD03-105 Bridge Crew,GD03-114 Look of Determination,,
Unit,GD03-034 GQuuuuuuX (Omega Psycommu),GD03-037 Bertigo,GD03-036 Ξ Gundam (Flight Form),GD03-050 Gundam Barbatos Lupus,GD03-114 Look of Determination,,
Unit,GD03-035 GFreD,GD03-003 Messala,GD03-019 Gundam AGE-2 Normal,GD03-022 Gundam Kyrios,,,
Unit,GD03-036 Ξ Gundam (Flight Form),GD03-034 GQuuuuuuX (Omega Psycommu),GD03-049 Gundam Exia (Trans-Am),GD03-053 Gundam Gusion Rebake Full City,,,
Unit,GD03-037 Bertigo,GD03-034 GQuuuuuuX (Omega Psycommu),GD03-049 Gundam Exia (Trans-Am),GD03-073 Graze Ein,GD03-069 Graham's Union Flag Custom,GD03-084 Paptimus Scirocco,GD03-098 Graham Aker
Unit,GD03-049 Gundam Exia (Trans-Am),GD03-037 Bertigo,GD03-036 Ξ Gundam (Flight Form),GD03-091 Rau Le Creuset,GD03-114 Look of Determination,,
Unit,GD03-050 Gundam Barbatos Lupus,GD03-034 GQuuuuuuX (Omega Psycommu),GD03-033 Providence Gundam,GD03-071 Z Gundam (Biosensor),,,
Unit,GD03-052 Gundam Virtue,GD03-019 Gundam AGE-2 Normal,GD03-020 Zaku II FZ,GD03-017 Kampfer,GD03-053 Gundam Gusion Rebake Full City,GD03-109 Improved Technique,
Unit,GD03-053 Gundam Gusion Rebake Full City,GD03-002 The-O,GD03-036 Ξ Gundam (Flight Form),GD03-052 Gundam Virtue,GD03-091 Rau Le Creuset,GD03-098 Graham Aker,
Unit,GD03-069 Graham's Union Flag Custom,GD03-022 Gundam Kyrios,GD03-037 Bertigo,GD03-084 Paptimus Scirocco,,,
Unit,GD03-070 Freedom Gundam,GD03-010 Full Armor Unicorn Gundam (Destroy Mode),GD03-003 Messala,GD03-073 Graze Ein,GD03-084 Paptimus Scirocco,,
